rest_id,rest_name
18455608,Juice Berg
18232650,Hyderabad Biryani
19317558,Shan's Kitchen
19497529,Namma Chickpet Donne Biryani
18979660,Vaigai Vilas
20304253,Brahmins Tiffin Centre
18800451,Food Court By Kitchens@
19526810,Grow Fit
19837332,RJ 14 Kitchen
19462922,Biryani Box
19222403,Sunshine Restaurant
19867978,Sri Udupi Park
20213140,Simpli Namdhari's
20410563,RollsKing
20255179,Living Bowls
19425683,Mithila Bhojanalaya
19479461,Lara Foods
19265990,Baker's Home Cakes & Desserts
19528941,The Betel Leaf Co - Originally from Bangalore
19065317,Smoke House Deli
54011,Kesar Sweet Shop & Fast Food
18796908,Aahar Vihar
19778505,Guntur Biryani's
20327914,Godavari Tales
19664809,Kolkata Sholoana
19788057,Go Native
19706567,Sri Venkateshwara Nellore Mess
20290674,Indiana Seasons
20073727,TN 81
19581014,The Bong Tikka Connection
18836214,One For The Road
20176669,Meal@79
58520,Mothi Restaurant
20205104,Chef Zaika Restaurant
19789903,Madurai Parotta House
20118218,Chhapan Bhog
19937573,The Hyderabadi Kitchen
20444648,Tibb's Frankie
19421765,Mystique Palate Kundalahalli
19111498,Burger Hut
20232196,Go69 Pizza
19274814,Express By ABs
18751999,Tadka Punjabi Restaurant
18246516,DUNKIN'
19676729,Lavonne
19512702,Siri Udupi Veg
18642645,Treat
18554664,Ambur Hot Dum Biriyani
20101173,Chinita Real Mexican Food
19696057,New Ramdev Sweets
19302772,Kaveri Vaibhav Pure Veg
20252503,Bengaluru Naati Point
19987846,Sai Aruna
18562485,Chinese Chaska
59898,Prajwal The Restaurant
19346642,Ruchira
18786572,Mrs Iyengar's Kitchen - Traditional Home Food
18922196,Kolkata Spicy Restaurant
19769575,Laali Da Dhaba
19887425,The Tea Brewery
19906882,Mr Momo
60406,Sorse
20449199,Wokanaka - The Casual Chinese Pitstop
19160468,Roj Ka Khana - Daily Meals
20168688,Hoisin
20321870,The Baklava Company
19701237,Seheru's Kitchen
19150574,VBP Catering & Vasuda Hotel
19931434,Gita Foods
20023191,New Paratha Express
19417911,Amma Restaurant
18544427,Artinci - Indulge Guilt Free!
20017442,Mann Food Court
20323876,Iceberg Organic Icecreams By EatFit
20451959,Street Foods By Punjab Grill
19596362,Mamagoto
57713,Srinidhi Sagar
19762190,Element3
18606095,Angel's Kitchen
18541906,Litti House
55675,Kartik's Mithai Shoppe
20368542,Piazza Pizza By Little Italy
20053001,Puliyogare Palace
19916903,The Red Box
18772530,Kolkata Famous Kati Rolls
19538070,New Kolkata Style Famous Kati Rolls
20219713,Muziriz-The Taste of Malabar
20327922,Flavours Of Andhra
19359458,Anjarai Petti
18995046,Paratha Center
19585200,With Love From Home
20215727,Millet Express
20343973,Nomad Pizza - Traveller Series
19279914,Sundae Everyday Ice Creams
20347083,HRX by EatFit
19875593,Auntie Fung's
18595782,The Pallet
19473215,Budget Saapadu
20118729,Kathi Junction
18650776,Aditya Sweets
19314726,Kolkata Famous Kati Roll
52567,Park N Eat
19749557,Fabelle Chocolates
19739509,The Spice Studio
20266654,Baking Bad - Pizza Delivery
20295584,Angaar Pizza
19971766,Hyderabadi  Suchi Biryani
19080350,N Neerav Chinese Cuisine
19857484,Bengali Dhekur
20052303,Soulful Sweets & Savories
19431370,Dock Frost'd
19524149,Valluvan Cafe
19547953,Drip The Cafe Bar
20081187,Bowl Soul
19817136,The Sugar Free Keto Kafe - Artinci
19913763,Sizzlers Pizza Inn
53600,Salem Kitchen
19584987,Shawarma House
19916093,Sanatani
18622277,S.M.S.Evening Fast Food
19589295,Paradise Biryani House
18313531,Biergarten
18356675,Andhra Kafe
20336365,Five Star Chicken
19837321,Sabzi Aur Roti
19471192,That Bangalore Place
