rest_id,restaurant,link,cusine,rating,price
95,Siddique Kabab Centre,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town/order,"Mughlai, Chinese, North Indian, Rolls, Sichuan",3.9,₹300 for one
96,Ghee And Turmeric,https://www.zomato.com/bangalore/ghee-and-turmeric-1-cv-raman-nagar-bangalore/order,North Indian,4.1,₹300 for one
97,ZAZA 22 Spice Awadhi Biryani,https://www.zomato.com/bangalore/zaza-22-spice-awadhi-biryani-indiranagar-bangalore/order,"Biryani, Mughlai, North Indian",4.0,₹300 for one
98,NH1 Bowls - Highway To North,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-indiranagar-bangalore/order,"North Indian, Kebab, Desserts",4.4,₹300 for one
99,New Udupi Grand,https://www.zomato.com/bangalore/new-udupi-grand-jeevan-bhima-nagar-bangalore/order,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",3.9,₹300 for one
100,WOW! China,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order,"Chinese, Rolls, Seafood, Desserts, Shake, Sichuan",3.9,₹300 for one
101,The Biryani Life,https://www.zomato.com/bangalore/the-biryani-life-thippasandra-bangalore/order,"Biryani, Kebab, Hyderabadi, Lucknowi",3.7,₹300 for one
102,Samosa Party,https://www.zomato.com/bangalore/samosa-party-airport-road-bangalore/order,"Street Food, Beverages",4.2,₹300 for one
103,7 Plates,https://www.zomato.com/bangalore/7-plates-frazer-town/order,"North Indian, Mughlai, Rolls, Chinese",4.1,₹300 for one
104,UBQ By Barbeque Nation,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order,"North Indian, BBQ, Biryani, Kebab",3.6,₹300 for one
105,Smoor,https://www.zomato.com/bangalore/smoor-mg-road-bangalore/order,"Bakery, Desserts",4.4,₹300 for one
106,The Dessert Heaven - Pure Veg,https://www.zomato.com/bangalore/the-dessert-heaven-pure-veg-banaswadi-bangalore/order,"Desserts, Bakery",3.9,₹250 for one
107,Kaati Zone Rolls and Wraps,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-kaggadasapura-bangalore/order,"Rolls, Fast Food, Beverages, Wraps, Desserts, Shake",4.0,₹250 for one
108,Chai Point,https://www.zomato.com/bangalore/chai-point-mg-road/order,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee",4.0,₹250 for one
109,Ludos Pizza,https://www.zomato.com/bangalore/ludos-pizza-jeevan-bhima-nagar-bangalore/order,"Pizza, Fast Food",4.2,₹250 for one
110,Delicacy,https://www.zomato.com/bangalore/delicacy-frazer-town/order,"Chinese, Thai",3.9,₹250 for one
111,Chinese BAE,https://www.zomato.com/bangalore/chinese-bae-jeevan-bhima-nagar-bangalore/order,"Chinese, Seafood, Momos, Sichuan",4.1,₹250 for one
112,Donne Biryani Mane,https://www.zomato.com/bangalore/donne-biryani-mane-koramangala-4th-block-bangalore/order,"Biryani, South Indian",4.0,₹250 for one
113,The Good Bowl,https://www.zomato.com/bangalore/the-good-bowl-thippasandra-bangalore/order,"North Indian, Pasta, Italian",4.0,₹250 for one
114,Momoz,https://www.zomato.com/bangalore/momoz-jeevan-bhima-nagar-bangalore/order,"Chinese, Momos, Burger, Sichuan",3.8,₹250 for one
115,Mealful Rolls - India's Biggest Rolls,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-indiranagar-bangalore/order,"Rolls, Fast Food, North Indian, Desserts, Beverages",4.3,₹250 for one
116,Biggies Burger,https://www.zomato.com/bangalore/biggies-burger-frazer-town-bangalore/order,"Fast Food, Burger, Beverages",3.9,₹250 for one
117,99 Variety Dosa & Pav Bhaji,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order,"South Indian, Maharashtrian",3.7,₹250 for one
118,Keventers - Milkshakes & Desserts,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore/order,"Shake, Beverages, Ice Cream",4.3,₹250 for one
